"noun_id";"noun";"noun_count"
1123;"piolho";1
1124;"sangue";15
1125;"cbl";1
1126;"tanto";21
1127;"preshampoo";1
1128;"pedrosoaresfs";2
1129;"viagem";6
1130;"gringa";2
1131;"deusa";4
1132;"alanitcha";1
1133;"letter";7
1134;"spotify";320
1135;"thvutted";1
1136;"lt";4
1137;"botao";4
1138;"edit";2
1139;"leque";1
1140;"som";23
1141;"heated";1
1142;"modelo";14
1143;"playlist";44
1144;"playlists";8
1145;"stream";21
1146;"lancamento";17
1147;"plataformas";8
1148;"enhypenbrasil";2
1149;"blood";2
1150;"sacrifice";3
1151;"eat";2
1152;"up";2
1153;"bite";1
1154;"play";9
1155;"rose";1
1156;"doutor";3
1157;"lendaria";1
1158;"solo";9
1159;"bts";5
1160;"charts";3
1161;"frase";12
1162;"dedo";7
1163;"c";9
1164;"intro";4
1165;"jeonjungkookbr";5
1166;"ganho";3
1167;"diario";2
1168;"streams";84
1169;"jungkook";8
1170;"atualizacao";9
1171;"43h";1
1172;"tracklist";2
1173;"ludmilla";11
1174;"parceria";9
1175;"querida";6
1176;"entrostece";1
1177;"trilha";13
1178;"estrela";9
1179;"lady";8
1180;"reproducoes";5
1181;"marco";9
1182;"trilhas";4
1183;"single";6
1184;"forno";1
1185;"duo";8
1186;"figurinha";1
1187;"samba";3
1188;"mpb";2
1189;"beats";2
1190;"playdodia";1
1191;"chart";20
1192;"documentario";2
1193;"barmystream";4
1194;"albuns";11
1195;"btstwt";19
1196;"pico";8
1197;"powerbtsdata";1
1198;"cancoes";3
1199;"gloria";4
1200;"fleasbeg";1
1201;"estreia";15
1202;"album";81
1203;"geracao";18
1204;"nosevemp3";2
1205;"hiperfoco";3
1206;"rdtladygaga";2
1207;"bilhoes";6
1208;"dialogo";2
1209;"laboratorios";1
1210;"psicologia";2
1211;"professor";18
1212;"cura";3
1213;"depressao";7
1214;"fuck";3
1215;"ataque";17
1216;"piranha";2
1217;"mcrashid";1
1218;"mal";7
1219;"infocardib";1
1220;"lisa";2
1221;"blackpink";2
1222;"mvs";2
1223;"tempest";1
1224;"quarta";4
1225;"feira";14
1226;"cacura";1
1227;"skin";12
1228;"beyonce";6
1229;"artista";35
1230;"medico";3
1231;"parto";2
1232;"indicacoes";2
1233;"episodios";35
1234;"trailer";3
1235;"episodio";129
1236;"participacoes";1
1237;"propaganda";4
1238;"artistas";25
1239;"3h25";1
1240;"luccascarlos";1
1241;"1k";3
1242;"views";1
1243;"tropa";2
1244;"straykidsbrasil";5
1245;"info";5
1246;"kpop";6
1247;"contagem";5
1248;"rampb";1
1249;"story";2
1250;"graca";23
1251;"jhope";2
1252;"faixas";6
1253;"culpa";17
1254;"talento";9
1255;"atin";1
1256;"whoisramosd";1
1257;"leosantana";1
1258;"cancao";10
1259;"renoninho1";1
1260;"pedrada";5
1261;"outubro";3
1262;"cidade";34
1263;"fodase";12
1264;"tamanho";14
1265;"juliabrump";1
1266;"tiktok";7
1267;"madrugada";9
1268;"contador";2
1269;"lembro";7
1270;"professora";7
1271;"serie";46
1272;"mesa";9
1273;"bar";4
1274;"updatekboys";3
1275;"barcadepressaoo";1
1276;"oferta";14
1277;"eur10";2
1278;"transporte";3
1279;"alimentacao";3
1280;"plano";14
1281;"ragezin";1
1282;"song";2
1283;"configuracao";1
1284;"ctz";6
1285;"surpresa";27
1286;"loirinhaaa";1
1287;"loucuras";4
1288;"track";2
1289;"encontrase";3
1290;"frente";47
1291;"decimo";1
1292;"follow";1
1293;"tweet";19
1294;"print";6
1295;"saidafrente";1
1296;"votos";7
1297;"militancia";3
1298;"forcas";12
1299;"mtt";2
1300;"sertanejo";6
1301;"shows";11
1302;"txt";1
1303;"arraso";1
1304;"girlgroupsbr";1
1305;"comeback";2
1306;"ouvintes";13
1307;"lanabrasil";2
1308;"anjo";4
1309;"lust";1
1310;"stevie";1
1311;"nicks";1
1312;"detalhes";26
1313;"julgamento";4
1314;"demarcacoes";1
1315;"terras";2
1316;"tarde";6
1317;"mds";41
1318;"desvio";3
1319;"entrada";9
1320;"sentimentos";5
1321;"flora";5
1322;"spot";1
1323;"status";3
1324;"grave";1
1325;"coreos";1
1326;"serio";16
1327;"iconico";1
1328;"exdasuavida";1
1329;"divulgacao";3
1330;"equipe";15
1331;"especialistas";1
1332;"plays";1
1333;"sonzaco";1
1334;"sequencia";9
1335;"vala";1
1336;"flcnd";1
1337;"stories";8
1338;"vivituitou";1
1339;"mdsss";3
1340;"pouquinho";2
1341;"bastidores";11
1342;"studio";2
1343;"cokestudio";2
1344;"newjeansbr";1
1345;"latribucamilo";1
1346;"camilodailybr";1
1347;"camiloalwaysbr";1
1348;"danca";5
1349;"rocketman";1
1350;"biografias";1
1351;"boatos";6
1352;"dvd";1
1353;"soclaramesmo";1
1354;"amiga";24
1355;"musicacultura";1
1356;"gshow";1
1357;"lgbtia";1
1358;"solista";4
1359;"collabs";2
1360;"latto";1
1361;"posicionamento";2
1362;"lenda";16
1363;"grafico";2
1364;"ar";27
1365;"hotel";4
1366;"evento";7
1367;"babados";1
1368;"festona";1
1369;"causos";1
1370;"envolvidos";2
1371;"convidados";4
1372;"10k";1
1373;"mita";1
1374;"divas";5
1375;"sofrimentos";1
1376;"engajamarilia";1
1377;"voltinha";1
1378;"carro";11
1379;"carona";2
1380;"convidado";3
1381;"flower";1
1382;"jisoo";1
1383;"alleye";1
1384;"poder";19
1385;"menu";2
1386;"boatarde";1
1387;"pagode";2
1388;"lideres";3
1389;"ato";9
1390;"stats";1
1391;"obra";13
1392;"discografia";6
1393;"almoco";15
1394;"falsaprozza";2
1395;"agregadores";2
1396;"spotifybrasil";4
1397;"aluna";6
1398;"marisa";1
1399;"loop";2
1400;"choro";5
1401;"deputada";2
1402;"disponivel";7
1403;"realbrasilbr";1
1404;"vivo";26
1405;"ingresso";10
1406;"versoes";6
1407;"risadas";1
1408;"mudancas";5
1409;"boasvibracoes";1
1410;"formularios";1
1411;"compra";27
1412;"distribuicao";1
1413;"contas";12
1414;"fundos";2
1415;"meta";4
1416;"everclosure13";1
1417;"aoty";1
1418;"chiquerrimo";1
1419;"metade";25
1420;"streamings";2
1421;"phoebe";4
1422;"ami";1
1423;"sussurros";3
1424;"anjos";3
1425;"vaquinha";2
1426;"fundo";18
1427;"vhoorvictor";3
1428;"twice";2
1429;"procura";2
1430;"live";9
1431;"flight";1
1432;"rayobez";1
1433;"deezer";5
1434;"artist";3
1435;"sul";19
1436;"comentaristaedu";6
1437;"carinho";13
1438;"radio";5
